#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
7.950000000000000000e+02 1.039999999999999952e-01 7.699999999999999900e-02 3.699999999999999817e-02 9.900000000000000466e-02 7.199999999999999456e-02 5.099999999999999672e-02 4.525260883000000196e-06 7.546599999999999975e-01 7.581374099081810589e-07
8.000000000000000000e+02 9.900000000000000466e-02 7.799999999999999989e-02 5.000000000000000278e-02 9.400000000000000022e-02 7.199999999999999456e-02 6.099999999999999867e-02 -4.277847765000000304e-06 7.532999999999999696e-01 -7.315081177520115362e-07
8.050000000000000000e+02 9.400000000000000022e-02 7.699999999999999900e-02 6.099999999999999867e-02 8.999999999999999667e-02 7.199999999999999456e-02 6.800000000000000488e-02 3.989999999999999994e-08 7.516699999999998383e-01 6.898075589999998580e-09
8.100000000000000000e+02 8.899999999999999578e-02 7.499999999999999722e-02 6.800000000000000488e-02 8.599999999999999312e-02 7.099999999999999367e-02 7.199999999999999456e-02 1.615511603000000047e-05 7.500399999999998180e-01 2.774789159015334102e-06
8.150000000000000000e+02 8.599999999999999312e-02 7.499999999999999722e-02 7.099999999999999367e-02 8.300000000000000433e-02 7.099999999999999367e-02 7.399999999999999634e-02 -8.861654205000000852e-06 7.484099999999997976e-01 -1.512130342172602919e-06
8.200000000000000000e+02 8.200000000000000344e-02 7.399999999999999634e-02 7.099999999999999367e-02 7.900000000000000078e-02 7.000000000000000666e-02 7.399999999999999634e-02 -4.315073602000000155e-06 7.467799999999998883e-01 -7.185975781838478574e-07
8.250000000000000000e+02 7.699999999999999900e-02 7.099999999999999367e-02 6.900000000000000577e-02 7.399999999999999634e-02 6.700000000000000400e-02 7.099999999999999367e-02 -2.963198640000000001e-06 7.451499999999998680e-01 -4.681018229183519646e-07
8.300000000000000000e+02 7.499999999999999722e-02 7.000000000000000666e-02 6.900000000000000577e-02 7.199999999999999456e-02 6.700000000000000400e-02 7.000000000000000666e-02 2.923200082000000321e-06 7.435199999999998477e-01 4.542526645184457424e-07
8.350000000000000000e+02 7.000000000000000666e-02 6.600000000000000311e-02 6.700000000000000400e-02 6.800000000000000488e-02 6.400000000000000133e-02 6.600000000000000311e-02 -7.281329599000000391e-06 7.418899999999999384e-01 -1.069585232008017908e-06
8.400000000000000000e+02 6.900000000000000577e-02 6.600000000000000311e-02 6.500000000000000222e-02 6.600000000000000311e-02 6.199999999999999956e-02 6.300000000000000044e-02 -8.402786915999999802e-06 7.402599999999999181e-01 -1.188067185105688512e-06
8.450000000000000000e+02 6.700000000000000400e-02 6.400000000000000133e-02 6.300000000000000044e-02 6.400000000000000133e-02 5.999999999999999778e-02 6.099999999999999867e-02 -1.305847079000000140e-05 7.386299999999998978e-01 -1.784394981729274320e-06
8.500000000000000000e+02 6.400000000000000133e-02 6.199999999999999956e-02 5.999999999999999778e-02 6.099999999999999867e-02 5.899999999999999689e-02 5.800000000000000294e-02 -1.850793720000000055e-05 7.369999999999998774e-01 -2.427982249519199611e-06
8.550000000000000000e+02 6.099999999999999867e-02 5.999999999999999778e-02 5.800000000000000294e-02 5.899999999999999689e-02 5.800000000000000294e-02 5.700000000000000205e-02 -8.486641455000000332e-06 7.354499999999999371e-01 -1.086021079705876365e-06
8.600000000000000000e+02 5.800000000000000294e-02 5.700000000000000205e-02 5.600000000000000117e-02 5.500000000000000028e-02 5.399999999999999939e-02 5.399999999999999939e-02 1.270343200000000025e-05 7.338999999999999968e-01 1.519656945402399968e-06
8.650000000000000000e+02 5.500000000000000028e-02 5.399999999999999939e-02 5.399999999999999939e-02 5.199999999999999761e-02 5.099999999999999672e-02 5.099999999999999672e-02 7.183034321999999445e-06 7.323500000000000565e-01 8.101162586003718534e-07
8.700000000000000000e+02 5.099999999999999672e-02 5.099999999999999672e-02 5.099999999999999672e-02 4.900000000000000189e-02 4.900000000000000189e-02 4.800000000000000100e-02 -1.243484206000000047e-05 7.308000000000000052e-01 -1.326757856307408329e-06
8.750000000000000000e+02 4.800000000000000100e-02 4.800000000000000100e-02 4.700000000000000011e-02 4.599999999999999922e-02 4.599999999999999922e-02 4.599999999999999922e-02 5.285935010999999537e-05 7.292499999999999538e-01 5.319579987345014517e-06
8.800000000000000000e+02 4.499999999999999833e-02 4.499999999999999833e-02 4.299999999999999656e-02 4.299999999999999656e-02 4.299999999999999656e-02 4.299999999999999656e-02 2.520097884999999993e-05 7.277000000000000135e-01 2.365699047879705230e-06
8.850000000000000000e+02 4.299999999999999656e-02 4.399999999999999745e-02 4.200000000000000261e-02 4.100000000000000172e-02 4.100000000000000172e-02 4.100000000000000172e-02 1.255048532000000133e-04 7.261500000000000732e-01 1.120964794559514310e-05
8.900000000000000000e+02 4.200000000000000261e-02 4.200000000000000261e-02 4.000000000000000083e-02 3.899999999999999994e-02 4.000000000000000083e-02 4.000000000000000083e-02 -4.755876027000000543e-05 7.246000000000000218e-01 -4.100868245305398464e-06
8.950000000000000000e+02 3.899999999999999994e-02 3.899999999999999994e-02 3.799999999999999906e-02 3.699999999999999817e-02 3.699999999999999817e-02 3.699999999999999817e-02 2.334737684999999910e-05 7.230499999999999705e-01 1.873826612284567214e-06
9.000000000000000000e+02 3.699999999999999817e-02 3.699999999999999817e-02 3.699999999999999817e-02 3.599999999999999728e-02 3.599999999999999728e-02 3.599999999999999728e-02 -1.812642068000000213e-04 7.215000000000000302e-01 -1.412446952226960065e-05
9.050000000000000000e+02 3.400000000000000244e-02 3.300000000000000155e-02 3.400000000000000244e-02 3.300000000000000155e-02 3.300000000000000155e-02 3.300000000000000155e-02 -7.814862182999999217e-06 7.199699999999999989e-01 -5.570201662635564332e-07
